shots,stunt_accuracy_mean,stunt_accuracy_std,stunt_precision_mean,stunt_precision_std,stunt_recall_mean,stunt_recall_std,stunt_f1_mean,stunt_f1_std,raw_accuracy_mean,raw_accuracy_std,raw_precision_mean,raw_precision_std,raw_recall_mean,raw_recall_std,raw_f1_mean,raw_f1_std
1,0.8203508771929823,0.14019443034948176,0.7950983594946193,0.1928112345950384,0.8083333333333332,0.24068531689471107,0.7611407489450212,0.18356288122182693,0.7785964912280703,0.14753603667434825,0.8222759215405737,0.20213116660327551,0.6607142857142858,0.2887021352579408,0.6627575511068564,0.23535067274261898
2,0.8765789473684211,0.06999159031399015,0.8167636424813051,0.12565726359506452,0.9135714285714286,0.08621908233523573,0.8507068353165047,0.060499752561493376,0.8482456140350877,0.09494373120975153,0.8471017444684104,0.154952981496414,0.7904761904761906,0.16102703256105635,0.7942528165159373,0.10696101959371929
5,0.9179824561403507,0.03478764228000602,0.8767864648156157,0.08227014816568182,0.9209523809523809,0.06605845003375176,0.8934394234261621,0.04051869170394546,0.9145614035087719,0.03410058808474502,0.9246730631276501,0.06993552628293576,0.8478571428571428,0.1031199794352683,0.8776879269112127,0.0534278376898645
10,0.9372807017543859,0.027998125734218657,0.9033206866681452,0.06746485511786193,0.9383333333333336,0.04763035580017005,0.917739433543882,0.03360991428171314,0.9407017543859649,0.022471212047491976,0.9393167909735952,0.05067673209656268,0.9021428571428572,0.06423234115921395,0.9175835939402057,0.032183366312312715
